text,label
"Wisata Religius Yang Masih Mengedepankan Budaya Jawa, Tempat Bersih, Toilet Juga Bersih.",positif
"Pada saat berkunjung tidak memuaskan karena fasum (toilet) terkunci. Toilet yang di musholla lampunya mati dan kurang bersih. Segera diperbaiki agar wisatawan yang berkunjung tidak kecewa dan tidak kecewa

Bojonegoro matoh",negatif
Bagus,positif
Sangat bagus penuh nuansa religius serasa berada di zaman kerajaan,positif
Indah nan sejuk,netral
Tempat yang penuh dengan legenda,netral
"cocok buat yang pengen santai dari hirup pikuk kota sih karna emng masuk hutan kayu jati mantap lah
harga tiket masuknya murah cuman 7rb per orang itu udah sama parkirnyaa .. tapi dari gapura kayangan api ke tempat wisatnya juah bngt sampe ak kira nyasar hehe",netral
Wisata yg sangat bagus tuk mengenal sejarah&geologi alam....krn di situ ada gas alam&sejarah tempat empu tuk membuat keris,positif
"Dulu apinya kelihatan menyala membara..
Sekarang kurang kelihatan .. banyak batunya",netral
Klo Pengen Melihat Pemandangan Api Yang Menakjubkan Usahakan Dateng Malam Hari... Selain Itu Suasana Terasa Damai...! ğŸ¤²ğŸ¤²ğŸ¤²,netral
Masih asri,netral
Tempatnya sangat indah.. Sangat cocok untuk berwisata bersama keluarga....!!,positif
"Semakin indah dan lengkap fasilitasnya mulai toilet, musholla, spot foto, banyak pendopo jadi adem cocok untuk gathering dengan keluarga. Kayu jatinya besar. Bisa jadi pilihan wisata alam di bojonegoro biar gak bosan.",positif
Wisata budaya yang harus di lestarikan dan di promosikan Agar bisa menjadi icon yang membawa dampak ekonomi dan nilai historis,netral
"Tempat terdapat api abadi, sumur blukuthuk. Pernah ikut acara ruwatan massal pd thn 2020 cukup sakral, khitmad",netral
"wisata murah meriah, per orang cuma 7.500 lokasi yg instagramable, juga dikelilingi hutan yg asri.",positif
Memiliki spot2 yang tidak dimiliki wisata lain,netral
"Api yang selalu menyala walaupun hujan...
Wisata yang bagus dan perlu di informasikan dan dikemas dengan lebih menarik lagi agar wisata di bojonegoro semakin meningkat",netral
"Wisata api abadi, ada pendopo, ada kuliner nya.",netral
wisata sejarah empu disini,netral
"Tempat ini sangat cocok untuk kegiatan rombongan, terutama untuk anak-anak agar bisa belajar sejarah di Bojonegoro. tiket masuk wisata ini hanya sekitar 7.500 rupiah dan untuk biaya parkir hanya 2.000 rupiah.",netral
"Destinasi wisata sejarah yang dapat dijadikan alternatif pelepas penat. Harga tiket murah, akses jalan lumayan bagus, suasana sejuk dengan banyak pepohonan. Namun kebersihan harus lebih ditingkatkan.",positif
"Kalo bisa pedagang jagung bakar nya jangan bakar jagungnya di atas api ....disuruh di lapak"" karena merusak pemandangan bagi yg mau foto""",netral
"Kayangan api di Bojonegoro, tiket masuk klo ga salah 7500/org, parkir mobil 3000. tempatnya kurang di pelihara dgn baik, toilet kran airnya mati dan jorok , wastafel ada beberapa kran airnya yg rusak jadi airnya netes2.",negatif
Wisata jaman kerajaan yang patut di lestarikan dan dijaga kebudayaan nya,netral
tempat wisata alami. tempat yang asri,positif
"Sudah lama tidak mampir kesini, ternyata sudah banyak yang baru. Lokasi wisata lebih luas dan rapi. Tempat makannya juga sudah banyak dan bervariasi. Teduh banyak pohon rindang.",positif
Oke baget,positif
Review lengkap cek channel youtube : Bocah Keluyuran,netral
Good place to visit,netral
Hutan jati lebat dan api buat hangatkan badan/bakar jagung,netral
"Bukan masalah tempat
Jauh ataupun dekat
Yang membuat seru adalah
Kebersamaan..",netral
"Tempatnya bagus, bersih dan nyaman untuk piknik bareng teman maupun keluarga. Ada mushola dn wc yg cukup bersihğŸ˜Š
Paling cocok waktu sore gk terlalu panasâ˜º",positif
Malem yg penuh kehangatan ğŸ˜ƒğŸ˜ƒğŸ˜ƒ,netral
Tempat yang menarik untuk dikunjungi. Salah satu destinasi wisata sejarah di Bojonegoro yang memiliki potensi api abadi.,netral
Wisata edukasi namun harus ditambah dengan fasilitas publik bagi anak2,netral
"Tempat wisata kayangan api sangat cocok untuk liburan keluarga, tempatnya sangat nyaman teduh banyak pepohonan, dan ada sumber apin alam yang tak pernah padam",positif
Tempatnya rimbun . Fasilitas lengkap . Harga tiket terjangkau,positif
Wisata kayangan api berlokasi di Kabupaten Bojonegoro dengan tiket masuk Rp 7500 untuk dewasa dan gratis untuk anak-anak . Pengunjung bisa melihat keindahan fenomena geologi berupa api yang tidak pernah padam. Nyala api menyembul dari tumpukan batu . Sumber api dari semburan gas alam yang berasal dari dalam perut bumi. Pengunjung juga bisa melihat tempat pembuatan senjata pusaka dan tempat semedi (bertapa).banyak penjual makanan dan souvenir di sekitar lokasi,netral
Bersih,positif
Jas Merah..,netral
Tempatnya nyaman,positif
"Lokasinya adem bagus buat liburan tipis tipis,",positif
Yah begitulah .namanya publik area,netral
Tempatnya nyaman bersih,positif
"Lumayan bagus buat menyepi, lokasi nya juga bersih",positif
ğŸ‘ğŸ½,netral
Wisata historis. Tempat nya adem agak berkesan mistis karena memang di hutan. Tempat dulu menempa senjata pada zaman kerajaan Majapahit,netral
"Tempat wisata di Bojonegoro, dimana ada sumber gas dan nyala api, yg kemudian dikelola dengan baik sebagai tempat wisata. ",netral
"Tempat yang  layak dikunjungi.
Biaya masuk: Rp 7500/orang",netral
"Fasilitas lengkap... Saran buat pengunjung, pakailah lotion anti nyamuk waktu berkunjung... â˜ºâ˜ºâ˜º",netral
"Bersih,asri,saya nyaman ğŸ‘ğŸ‘",positif
Angkling Dharmo,netral
"salah satu tempat wisata yang ada di bojonegoro..
dengan tiket masuk 7500 dan parkir 3000...
ada juga tempat buat semedi di lokasi api yang tak kunjung padam..",netral
Lokasi  nyaman untuk bersantai,netral
"Bisa menambah keyakinan bahwa Allah SWT,akan menuntun kerohanian seseorang ,salah satunya berkunjung di kayangan api bojonegoro",netral
Tempat wisata kayangan api yang sangat fenomelal ğŸ™ğŸ™ğŸ™,netral
Cat nippon paint cat no 1 di Indonesia,netral
Perlu pengembangan yg lebih baik... Terutama fasilitas untuk permainan yg menarik.,netral
Bakar jagung di api abadi,netral
nyaman....gak panas...,positif
" Apinya ada bau nya guys, gak tau ya itu bau apa? Cuma menurut ku keren banget tempatnya. Karena ada sejarahnya tempat ini.",netral
 tempat nya cocok buat rekreasi tema sejarah,netral
"Cocok untuk wisata liburan keluarga. Semoga bisa lebih lebih dikembangkan lagi karena selain sebagai tempat wisata, tempat ini merupakan situs peninggalan prasejarah dari kerajaan majapahit.",netral
"Tempat ini termasuk wisata sejarah, ada kaitannya dengan Kerajaan Majapahit. Pernah menjadi bagian penting dari even olahraga nasional, sumber pengambilan api PON ke-... (maaf lupa). Saat ini masih terdapat bagian yang direnovasi. Akan bisa menjadi tempat wisata yang nyaman dan menarik jika dikelola dengan baik. Karena tempatnya di tengah hutan, faktor keamanan pengunjung kiranya sangat perlu diperhatikan agar peziarah merasa tenang, aman, dan nyaman. Wis ngono ae.",netral
"Kayangan api, Salah satu destinasi wisata di Bojonegoro. Terletak di Dander, lokasinya sekitar 19km dari pusat kota bojonegoro.
Parkiran Luas, Tiket masuk juga terjangkau.",netral
"Tidak recommended, tempat panas dan sepi. Terbengkalai, seperti tidak dikelola dengan baik.",negatif
Disarankan kesini sore atau malam hari. Selain menghindari cuaca panas juga kalau sore apanya kelihatan,netral
"Untuk obyek wisatanya cukup berkesan, tp sayang fasilitas pendukungnya terutama AIR di dalam toiletnya yg hrs di perhatikan...",netral
Teruskan berbenah,netral
tempatnya sejuk bersih dan mudah dijangka,positif
Salah satu rekreasi alam yang dimiliki Bojonegoro dengan fasilitas cukup memadai dan lebih eksotis lagi kalau datang pas malam Jum'at  mistisnya terasa,netral
Sangat bagus bisa untuk terapi segala penyakit,positif
Api dari alam yang terus hidup dan tidak pernah mati yang saat ini menjadi arena wisata di daerah Bojonegoro kita bisa melewati area api tersebut hingga sedekat mungkin dan kita bisa berfoto di situ. Di dekat api abadi tersebut terdapat sebilah keris yang beri tegak yang diinfokan bahwa pembuatan keris itu dengan menggunakan api abadi tersebut. Selain api ini abadi disana  juga terdapat kolam renang belerang yang infonya bisa bermanfaat untuk perawatan kulit. Namun disayangkan penataan area wisata itu masih belum maksimal dan tingkat attractivess nya masih relatif rendah,netral
Lumayan,netral
Tingkatkan promosi nya di medsos atau ke biro perjalanan. Fasilitas lumayan lengkap ada kios makanan dan oleh* tradisional.Bisa buat foto prewedding juga,netral
Apakah ini petilasan empu pembuat keris,netral
tempatnya penuh dengan sejarah,netral
"Wisata syarat sejarah. Bangunan rapi, bagus. Tiket std harga pariwisata.
Keterangan sejarah dll mgkn bisa lebih diperbanyak untuk menambah kesan dan interaksi.
Mungkin bs jg ditambahkan musik2 yg sesuai tema wisata atau mini teater yg terjadwal biar suasana tdk terlalu sepi. Beberapa bagian sedang dlm perbaikan. Kebersihan bisa lebih ditingkat lg agar lebih nyaman.
Aktif sosmed sbg media promosi.
Smoga sukses ...",netral
"Wisata yang bagus dinikmati pada malah hari, pancaran api abadinya sungguh ciptaan Allah Yang Maha Agung.",positif
"bagus tempatnya, mengenang sejarah banget, dan dingin, sejuk banget tempatnya. serasa kembali pulang ğŸ¤­â˜ºï¸",positif
Mantab bisa ada apinya,netral
"Salah satu tempat wisata keluarga di Bojonegoro yang wajib dikunjungi.

Merupakan salah satu iconic Kota Bojonegoro karena Obor Api Olimpiade diambil di tempat ini.

Akses menuju ke tempat wisata cukup mudah, parkir luas dan biaya masuk 5rb per orang",netral
kebersihan perlu ditingkatkan distribusinya gak tercantum harganya,netral
Selalu ada hikmat dari setiap ciptaan Allah,netral
"Tempatnya sangat bagus, sayang saat ini kurang perawatan, terutama MCKnya (airnya kadang nggak ada). Mohon maaf kepada pengelola.",negatif
 cocok untuk wisata edukasi generasi muda tentang budaya dan warisan leluhur,netral
Sepi pengunjungnya,netral
Tempatnya luas,netral
Salah satu keajaiban dunia,netral
Kayangan api sumber api abadi di tengah hutan jati,netral
"parkir â­â­â­
Harga tiket â­â­â­â­
akses ke lokasi â­â­â­
toilet â­â­
Kebersihan â­â­â­",netral
Lebih seru dan menegangkan berkunjung saat malam hari.,netral
Bagus tempatnya nyaman strategis mudah di jangkau,positif
ini termasuk salah satu warisan leluhur yang patut di lestarikan dan di jaga,netral
Semakin bagus ya sekarang wisata kayangan api nya ğŸ˜,positif
"Bagus tempatnya adem enak buat jalan"" ngopi""",positif
gak nyesal jauh2 kesini,netral
Lumayan,netral
Keindahan budaya wisata kayangan api yg saat bagus untuk di kunjungi,netral
Eh sekarang tempat nya malah makin bagus,positif
"2014 kesini dan baru nemu lagi fotonya, emang bikin nostalgia sih api abadi ini.",netral
"Jalannya sudah bagus, tapi agak berkelokÂ², tiketnya lumayan terjangkau, ya seperti wisata sejarah pada umumnya",netral
Angling darma,netral
Alhamdulillah,netral
"Parkir luas, tempat bersih, mushola bersih, toilet bersih.",positif
Lokasinya sangat nyaman sejuk Haga tiketnya sangat terjangkau keajaiban alam yg haqiki ğŸ”¥ silahkan yg mau mengunjungi nya di jamin tidak menyesal,positif
Bagus banget pokok nya..,positif
tempat-tempat yang indah,positif
Waw...apainya abadi..tiada..mati walaupun hujan....sungguh luar biasa,positif
sungguh menakjubkan wisata alam kayangan api cipataan Allah SWT yg apinya Gak pernah padam walaupun ad hujan sekalipun ğŸ‘ğŸ‘ğŸ‘,positif
dri sini la saya jadi tahu sejarah,netral
,netral
Sangat membantu sekali bagi pelancong ...,netral
Mengetahui dan Menghargai sejarah leluhur perlu utk generasi sekarang.Tempat yg layak utk dikunjungi saat libur.,netral
ğŸ”¥ğŸ”¥Kayangan ğŸ‘,netral
"Butuh sentuhan kreatif,
Agar semakin berkembang,
Dan bisa menjadi alternatif lokasi santai serta santuy",netral
"Lumayan sih, kedepan bisa di tingkatkan kembali terkait pembangunanya, bisa meniru ciri khas bali",netral
Tempat wisata di bojonegoro,netral
 bikin betah ğŸ˜,netral
"Wisata kayangan api,, satu tempat wisata yg layak utk dikunjungi, diyakini api ada sejak jaman majapahit dan digunakan oleh mbah kriyo kusumo utk membuat benda""pusaka,dan mbah kriyo sejak pindah kehutan ini berganti nama menjadi mpu supo , keris yg di buat beliau sgt terkenal.
Tak jauh dari api abadi ada sumber air yg mendidih tp tidak panas, air tsbt tdk pernah meluap sekalipun hujan begitu jg dgn api tdk pernah padam sekalipun hujan,
Air dr sumur blekutuk itu dgunakan utk menyepuh benda""pusaka buatan mpu supo,
Mpu supo diyakini moksa d tmpt tsbt,
Utk mencapai wisata kayangan api tdk sulit krn jalanannya cukup bagus,,recomended bagi para pecinta kejayaan tempo duluğŸ˜˜ğŸ˜˜
Tersedia jg bbrp pondok utk santai,,",netral
Wisata alam yang sungguh menakjubkan dan mempesona. Ketika memasuki halaman parkir yg cukup luas... Kita akan merasakan suasana zaman kerajaan. LUAR BIASA,positif
"Mantap, seperti mengingat masa lalu..",netral
Wisata edukasi yg menarik,positif
Mungkin pemkab bisa di tambah fasilitas tambahan wisatanya,netral
kurang pengelolaan,netral
"Waktu kesini pas hari kerja jadi ya nggak terlalu rame ,",netral
"Karena kesini pas hari kerja jadi ga terlalu rame ğŸ™‚ jalan mulus, lokasi luas, good lahh pokoknya ğŸ¤—ğŸ˜Š",positif
Api abadi,netral
"Menurut Catatan Sejarah, Api Kayangan diyakini telah ada sejak lama, yakni dari zaman Kerajaan Majapahit. Waktu itu, api tersebut kerap digunakan sebagai tempat pertapaan oleh seorang Petapa sakti.
api tersebut muncul setelah petapa tersebut pulang dari tempat pertapaan. Waktu itu ia membawa sebuah api dari hutan dan langsung menyalakannya di dekat tempatnya bertapa, yaitu di lokasi Api Kayangan saat ini.",netral
"Nice... Tempatnya sejuk banget Cuyy

Jalan menuju lokasi sangat bagus & mulus",positif
ğŸ”¥ğŸ”¥ğŸ”¥,netral
Wisata ikonik di Bojonegoro,netral
"Suka sekali, tempatnya sejuk,  berlokasi di tengah2 area hutan, bernuansa jaman kerajaan, dan jalan menujunya sudah cor semua, muluuus...",positif
Wisata keluarga untuk sekitar wilayah Bojonegoro yang wajib anda datangi.,netral
ğŸ”¥,netral
suka itu,netral
Bagus Dilihat Pada Malam Hari...Apinya Kelihatan,positif
Langka unik,netral
 sementara tutup jam 21 dikarenakan jam malam,netral
Tempatnya keren..,positif
Disini ada api abadi yang tidak pernah padam dan sangat langka keberadaanya. Selain itu juga tersedia oleh khas Bojonegoro yg berada di pujasera kayangan apiğŸ”¥.,netral
"Ntaps, tenang jauh dari kebisingan..
Alam memang luar biasağŸ¤ŸğŸ˜..
Fasilitas cukup lengkap, sangat terawat pula..
Salut buat dinas terkait, masyarakat sekitar, serta pengunjung yg ikut menjaga tentunyağŸ™",positif
Udaranya sejuk alami,positif
Keren,positif
mantap kalo difoto malam hri,netral
cuman hanya ada api yang belum pernah padam,netral
Sip api abadi,netral
Meyenangkan sejuk damai,positif
kahyangan api,netral
"Akses jalan enak. Tiket masuk murah cuma Rp. 7.000
Sayang kurang banyak penjual dan kurang gazebo buat santai keluarga.
Saran saja lebih baik ada yang menjual sovenir khayangan api",positif
Kenapa map nya koq gak sesuai jauh2 dari pasruan mala nyasar ngikuti map.nyağŸ™ğŸ»,netral
Lokasinya asri banget. .,positif
Wana wisata yang nyaman dan asri,positif
"Keren
Melestarikan Peninggalan leluhur
Cerita leluhur dan menghidupkan ekonomi sekitar",
Nyaman,
Cocok buat refreshing,netral
Tempatnya sangatlah rindang,positif
Bagus,netral
Bisa dijadikan wisata edukasi dan outbound...,
Sayangnya kurang terawat,netral
"Tempat untuk outbond bersih ,luas,dan nyaman..",
beautifull view,netral
Malam buka tapibtempatnya ngeri2 sedap lewat hutan malam gelap swepi,netral
ğŸ‘ğŸ‘ğŸ‘,positif
sudah lebih baik dan bagus,netral
Cukup menarik  wisata disitu.bisa utk ketenangan pikir  ..sambil menelusuri kisah terjadinya api abadi ..,positif
Perlu dilestarikan biar apinya tidak susut kobar annya,netral
"Tempat yg menarik untuk dikunjungi,  sebuah keajaiban alam api abadi yang tak pernah padam, dengan lingkungan alam yang masih asri",positif
keren semakin bagus,positif
Luas nyaman cocok buat kluarga,positif
Bagus,netral
Eksotis dan sejuk,positif
Mengesan kan dan banyak kenangan disini,netral
Suasananya agak mistis. Cocok buat yg suka mistis.,netral
"Tempat bersejarah jaman kerajaan majapahit,,tempat menempa tosan aji dan meditasi leluhur terdahulu salam rahayu",netral
Great night tourism,netral
"Tiket masuk weekdays 7.5k Parkir motor 2k
Mempunyai mushola, toilet khusus disabilitas, ruang laktasi, dan tempat yg nyaman",netral
"Nice, adem.. Jgn terlalu lama deket api bau belerang",netral
Suasana malam cukup memberi kesan mistis. Pohon2 jati ratusan tahun usianya dibungkus kain putih dan sorot lampu membuat pohon2 itu tampak gagah dan berwibawa. Sayang ulah para pengunjung yg kurang bertanggungjawab masih terlihat di sana sini dengan ceceran sampah2 sisa minuman. Penjaga yg tidak memberi karsis resmi menjadikan tempat itu spt kurang koordinasi.,negatif
Alhamdulillah...pesona api alam khayangan Bojonegoro sangat menakjubkan,positif
"Menakjubkan, dan puas banget",positif
Kayangan api bojonegoro....api abadi,netral
Wisata api abadi yang ada di kota bojo5,netral
"Sebagai salah satu destinasi wisata, tepat jika dijadikan wisata edukasi sejarah. Tempat (Situs) lokasi yang dapat dilihat tidak hanya 'api abadi' saja namun ada juga sumber air belerang, tempat2 pembuatan Keris, rumah2 tempat lokasi semedi serta banyak titik pembelajaran dan tentunya berswafoto yang apik. Kawasan Ini sudah sangat rapih dan tertata akses ke lokasi yang mudah dan lancar (jalan beton dengan petunjuk Arah yang dapat dijadikan wisawan sebagai petunjuk... Selain menggunakan google maps) untuk sinyal menuju lokasi sangat lancar walaupun lokasi di dalam hutan anda tidak perlu khawatir akan sinyal :) pastikan anda melihat salah satu keajaiban dunia versi Bojonegoro...",netral
Indah dan bagus serta salah satu situs budaya di kabupaten Bojonegoro yang sangat bersejarah,positif
Kurang tertata tapi udah baik,netral
Beneran Hot. Just Like Negara Api.,netral
Bagus bersih....,positif
Good place to visit,netral
"kurang bersih sih.. yg area sumur itu.. trus rumah"" itu agak kotor",negatif
Sangat menyenangkan...,positif
Suka,netral
Nyaman tempatnya,positif
Untuk pecinta sejarah sip dah,netral
Malam lebih bagus sebab pijaran api sangat jelas.. Namun tidak seramai siang.. Dan malam agak sulit Berswafoto..,netral
Bagus u tuk blajar,netral
Hening damel ritualan,netral
Mencapai kedamain malam. Di kesendirian..,netral
karena PPKM hanya bisa sampai di luar saja,netral
"Salah satu wisatanya kota bojonegoro yang terkenal dengan api abadi yang tidak padam walaupun terkena air hujan dan di sini terdapat  air blekutuk yang baunya seperti belerang, wisata ini berada di kawasan hutan yang rindang dan sejuk",netral
Subhanallah,netral
"Perjalanan dari kota bojonegoro kurang lebih 40 menit via dander, untuk siang hari api tidak nampak jelas karena api berwarna biru, perjalanan bisa dilakukan dengan mobil ataupun sepeda, tempatnya bagus bersih, kasih penjaga yg aktif dong pihak pengelola,  krn msih bnyak tangan jahil yg melakukan corat coret di dinding ( vandalisme) , untuk kebersihan ok , kita semua harus menjaga jika berkunjung jangan corat coret apapun.",netral
Cahaya penerang.........,netral
tempat bersejarah,netral
Kurang menarik tempat nya. Summer api dan sumur belerang nya jg kurang dirawat.,negatif
Bersih... Pohon rindang dan pedagang serta petugas yg ramah,positif
Tempat bersih suasana nyaman dan tenang,positif
Sangat senang,netral
"Kalau daftar keajaiban dunia bisa di tambah, saya merekomkan kayangan api sebagai salah satunya.

Mengapa?
Karena tempat ini menyimpan sejarah, tempat ini ada api abadi, tempat ini sangat elok ada di tengah hutan, tempat ini nyaman membuat hati tentram, dan disini penduduk sekitar sangat ramah dan bersahaja.

Kayangan api merupakan salah satu icon dan tempat wisata kebanggan Bojonegoro

Pemeliharaan tempat ini juga bagus dan kebersihan terjaga. Di lengkapi tempat parkir, pujasera, mushola dan juga toilet.",netral
Buktikan sendiri,netral
"Masuk ke tempatnya jalan paving block
Paa kmrn kesana sepi asik banget",netral
"Wisata alam ini cukup menarik untuk WisLok,perlu penanganan yg lebih baik agar diminati",netral
Keren perlu ditingkatkan promosi fasilitasnya,netral
Kereen,netral
"Kebersihanxa terjaga n sejuk ,selain jalan"" jga bisa nmbah pengetahuan n mengenal sejarah",netral
"Tempat nya woowww bgt...  ğŸ‘ğŸ‘ğŸ‘
Akses jalannya juga sdh baik..
Monggo PINARAK BOJONEGORO ğŸ˜ŠğŸ‘ğŸ™",netral
"Menurut aq sih biasa aja.
Harga tiket nya mahal 7500 per/orang.",netral
Cukup baik,netral
"Wisata alam yang bagus utk keluarga n edukasi anak. Tempatnya bagus , jalan menuju kesana juga bagus. Oh ya jangan lupa lihat video kayangan api di youtube channel Shafyna Juan Diary . Subscribe like n share ya..Terima kasih",positif
"Ma syaa Alloh,. La quwwata illa billah",netral
Bagus.. Tempatnya..,positif
Wisata Alam Legenda Bojonegoro,netral
"Tempat wisata hits khas ikon Kota Bojonegoro. Api abadi yang tak pernah padam. Selain wisata, sering digunakan juga untuk acara adat tradisional tiap tahunnya. Belum ke Bojonegoro kalau belum kesini. Waktu tempuh sekitar 30-45 menit dari pusat kota.",netral
Tempatnya kalo siang eksotis dan malam harinya..... hmmmm,netral
"Tempat wisata yang sangat menarik, bernuansa alami, juga tersedia musollah, toilet, warung makan dan minum,, dan yg lebih menarik lagi telah di persiapkan AHLI TERAPI BEKAM dan PIJAT URAT.",positif
"Lokasi unik, tempat bersih",positif
"Tempat yg nyaman buat bersantai bersama keluarga, selain itu juga tempat bersejarah dan bisa memberikan wawasan pada generasi penerus",positif
"Alhamdulilah ini adalah wisata yg jarang ada di dunia
Hanya ad abeberapa tempat saja sumber api abadi yg bisa keluar dari dalam perut bumi langsung",netral
"Lumayan nyaman. Senyap, tidak terlalu ramai. Cocok buat yang nyari ketenangan",positif
"Keindahan alam yg patut di jaga dan dilestarikan,,",netral
Bagus. Asri,positif
"Tempat nya sejuk, buat nyantai sekeluarga dan edukasi anak anak untuk mengenal sejarah dan budaya",netral
saya kesini mengisi waktu luang liburan pada saat covid meski sepi pengunjung tempatnya nyaman,netral
Sangat cocok untuk meditasi,netral
Mantap2 enak,netral
"Tempatnya bersih,nyaman tapi panas banget padahal itu sampai sana sore hari
Tapi senang karena ada pendopo bangunan lama seperti mengingat sejarah",positif
Panas,negatif
"pengalaman berkunjung kesini, tempatnya kurang terawat, pemkab harusnya memberi perhatian ekstra di tempat ini, mengingat salah satu wisata yang paling sering di kunjungi wisatawan di Bojonegoro.. akses masuknya juga sudah bagus jika dari kota, jalan beton,. semoga kedepannya bisa lebih baik lagi.",negatif
Bagus banget dan Alami,positif
Bagus,netral
Tempat yang cocok untuk liburan keluarga dengan harga tiket masuk yang terjangkau. Dapat mempelajari tentang sejarah - sejarah kayangan api yang mungkin tidak banyak diketahui orang. Api abadi yang tidak pernah padam dan masih terlihat saat pagi/siang hari. Jika berkunjung di malam hari pasti api akan terlihat menarik. Kayangan Api buka selama 24 jam,netral
Berkah Abadi,netral
"Tempat wisata yg wajib dikunjungi ketika singgah di Bojonegoro, khususnya di sore dan malam hari ğŸ‘ğŸ‘ğŸ‘",netral
bagus,netral
Bagus bet,netral
Nyaman buat santai,positif
