Tweet_Tokens,Subjectivity,Polarity,Analysis
ernestprakasa kkn desa tari warkop dki abdi setan dil cetak angka box office indonesia nggak agenda representasi chindo nggak aktivisme kenal hidup minoritas ajak orang seg seg watch learn ernest https co ci ehwipo,0.0,0.0,netral
itzyjlsu woe kembang desa kkn desa tari,0.0,0.0,netral
moviemenfes film lokal gak laris tayang film emang film lokal aja kalah saing isi horor gabut ama komedi garing doang klo film nya bagus minimal marketingnya bagus lahh bukti kkn desa tari laku wlaupun film garing,0.6,-0.1,negatif
petirbaelish tanyarlfes oh rt petirbaelish tanyarlfes anak twitter dah alami mbak bibit unggul amrazing vs sabrina joko anwar circle k triomacan pocong ririn waluh kukus air minum chatime skinnyfab kkn desa tari ika natassa cowok kacamata safa space afi sepatu docmart,0.0,0.0,netral
winddflowerrr desa tari,0.0,0.0,netral
alhevk gatau aja kmu kades desa tari,0.0,0.0,netral
sempet jarang main twitter kali sekali buka liat thread kkn desa tari,0.3333333333333333,0.16666666666666666,positif
kkn desa tari sih,0.0,0.0,netral
tanyarlfes adora hilman yg bikin twitter wkwk chatime kkn desa tari safa berflower yaa ak bookmark,0.0,0.0,netral
tanyarlfes skinnyfab afi cappadocia ugly cake kkn desa tari reinhard,1.0,-0.7,negatif
haloodhita langitponpel ketemu pas kkn desa tari,0.0,0.0,netral
tanyarlfes kkn desa tari ga sih,0.0,0.0,netral
nonton kkn desa tari,0.0,0.0,netral
sukma still stuck desa tari,0.0,0.0,netral
mksdnya gmn kirim bwi kirim desa tari kah https co uvjxalwwev,0.0,0.0,netral
optirmal mandi kolam air desa tari wkwkwkwwkwkw,0.0,0.0,netral
tau yg zaman yg menfess yg gatau kecuali kkn desa tari pas sekolah asrama tydack bawa hp,0.0,0.0,netral
betemaxx bocahkacang viniranika tanyakanrl rzlfbrnt iki seng ng kkn desa tari ta,0.0,0.0,netral
andrianmaul kkn desa tari,0.0,0.0,netral
tanyarlfes cerita kkn desa tari,0.0,0.0,netral
tanyarlfes gilang bungkus kkn desa tari,0.0,0.0,netral
kkn desa tari iblis jemput kkn lancelot,0.0,0.0,netral
tanyarlfes safa waluh kukus air putih kkn desa tari template orang ngetawain ngejokes gempar si audrey,0.0,0.0,netral
tanyarlfes space safa waluh kukus kkn desa tari afi pribadi gilang bungkus audrey naga imroatus ketok tembok malu kali audrey mas sih yg horror tp gue lupa like akun satu,0.0,0.0,netral
habisnontonfilm simplem jameschne brrti cerita kkn desa tari marketing ya huhuhu,0.0,0.0,netral
tanyarlfes thread sugar daddy yg dokter ama kkn desa tari,0.0,0.0,netral
tanyarlfes kkn desa tari sii,0.0,0.0,netral
tanyarlfes lol tau chatime skinnyfab kkn desa tari safa space sepatu docmart waluh kukus dama ika natassa yg yaa,0.7,0.8,positif
ragasea anxious people perca perca bahasa kkn desa tari ivanna van dijk bonus divergent bonus prodigy healer damage zonauang zonajajan zonajajan zonaba,1.0,-0.25,negatif
bima kkn desa tari,0.0,0.0,netral
tanyarlfes gua tau waluh kukus kkn desa tari cowo kacamata safa space gua ga aktif ya,0.0,0.0,netral
plunyon kalikuning adlh destinasi wisata alam kawasan taman nasional gunung rapi tngm yg milik pandang alam pesona destinasi ramai bincang media sosial lantar salah lokasi syuting film kkn desa tari megoodh https co whp phjsif,0.0,0.0,netral
tanyarlfes kkn desa tari,0.0,0.0,netral
kkn desa tari lekat wkwkwk,0.0,0.0,netral
tanyarlfes kkn desa tari,0.0,0.0,netral
tanyarlfes kkn desa tari wakil hwang renjun mbak nuri,0.0,0.0,netral
legend memoriable justiceforaudrey kkn desa tari mn bus l w space safa afi,0.0,0.0,netral
tanyarlfes thread kkn desa tari woey merinding anj,0.0,0.0,netral
bgtt salah kesan zaman perang ht omnibus law trus ad jadi gilang bungkus kkn desa tari waluh kukus natalie afi wot snmptn aduh dah pokok kacauuu wkwk,0.0,0.0,netral
thread kkn desa tari sih,0.0,0.0,netral
tanyarlfes kkn desa tari,0.0,0.0,netral
tanyarlfes space safa afi nihaya imroatus waluh kukus kkn desa tari,0.0,0.0,netral
tanyarlfes justice audrey kkn desa tari,0.0,0.0,netral
tanyarlfes kkn desa tari,0.0,0.0,netral
safa maknya hwang renjun yg spill si chatime yg suka ngomong british lupa nama imroatus thread kkn desa tari yg asha yg pribadi wkwk,0.0,0.0,netral
kkn desa tari teaser coming soon https co pq kd mmlh,0.0,0.0,netral
tanyarlfes wakil hwang renjun na jaemin yg dosen kader g lk r imroatus mahasiswa alien kkn desa tari gilang bungkus predator kacamata yg inggris ngentiaw ortu yg sakit stroke,0.75,-0.25,negatif
lafilledhvver astaghfirullah del wgwgwgwggwg nyari lagu karna udah tau kkn desa tari wgwgwggw,0.0,0.0,netral
kxchunga astg kkn desa tari lot bgt otak https co tchpqddr w,0.0,0.0,netral
tanyarlfes waluh kukus safa vs na jaemin hwang renjun kkn desa tari,0.0,0.0,netral
kkn desa tari legend sih anak yg basic nya ga suka horor baca sampe abis thread nya,0.125,0.0,netral
moviemenfes kemaren desa tari film baik tayang pas lebaran jt tonton cuy harga tiket rb pajak bioskop produser kurleb produser untung kotor miliar,0.0,0.0,netral
tanyarlfes kkn desa tari sampe jd film ter gegerrr,0.0,0.0,netral
dika ceanix tanyarlfes jujur rem pocong ririn drpd kkn desa tari gw mean kyk manusia hidup pocong gis loncat hutan,0.6875,-0.3125,negatif
imroatus safa space malu mf tali tambang ava mark ijo tosca afi nihaya sabrina waluh kukus kkn desa tari deh lupaaa,0.0,0.0,netral
tanyarlfes naren golkar tukang bungkus kkn desa tari trit horor famous yg malu dinding,1.0,0.5,positif
tanyarlfes kkn desa tari sii kalo gw,0.0,0.0,netral
tanyarlfes kkn desa tari,0.0,0.0,netral
tanyarlfes thread kkn desa tari,0.0,0.0,netral
tanyarlfes audrey safa waluh kukus kkn desa tari chatime gilang bungkus cowo kacamata dsb,0.0,0.0,netral
rubyjeonn iya ih kyk kkn desa tari trus skrg sewu dino dll,0.0,0.0,netral
moviemenfes film negeri pesimis gitu coba liat sukses kkn desa tari wkwk,0.0,0.0,netral
tanyarlfes ch time afi natalie space safa waluh kukus p c ng ririn kkn desa tari sih keinget wkwk,0.0,0.0,netral
skinnyfabs digeeembok afi nihaya kkn desa tari arawinda trs lg ya,0.0,0.0,netral
tanyarlfes thread kkn desa tari,0.0,0.0,netral
tanyarlfes anak twitter dah alami mbak bibit unggul amrazing vs sabrina joko anwar circle k triomacan pocong ririn waluh kukus air minum chatime skinnyfab kkn desa tari ika natassa cowok kacamata safa space afi sepatu docmart grindr swindler,0.0,0.0,netral
hahahahha thread kkn desa tari gak ya gue emg baca dluan rame trs tbtb booming bahas dmn,0.0,0.0,netral
tanyarlfes waluh kukus kkn desa tari,0.0,0.0,netral
tanyarlfes wot wleowleo orang tua sakit gilaaaa manusia beneran ga otak kalo keinget suka bikin ituuuu kkn desa tari,0.0,0.0,netral
intoaura desa tari,0.0,0.0,netral
thread simpleman kkn desa tari mcm nk dgn abdi setan def gon na watch,0.0,0.0,netral
coba niat mo bikin universe aksen skript main bahasa jawanya dibenerin minimal kek tisa biani kkn desa tari dah mending gak campur campur kek muleh,0.4666666666666667,0.033333333333333326,positif
kkn desa tari takberani nak tengok baru,0.0,0.0,netral
malam tengok kkn desa tari housemate lepastu dedua jerit hahaha babiii hateee watching movies like keluaaar saka pondan la kakak,0.4,0.2,positif
boysplanetarea bagus nder bagus evil editing pake lagu kkn desa tari,1.0,-1.0,negatif
bayuisa moviemenfes moro maleh desone koyo kkn desa tari enek demit e wkwkwkwkwk,0.0,0.0,netral
thmdn kkn desa tari tengok,0.0,0.0,netral
jekeygemes habisnontonfilm seng nulis kuwi ki penulise podo karo tulis kkn desa tari mba seng tulis ki kadang enek seng didramatisir tambah biar tarik ngunu tp lk menurute smn ng dunia iki seng kenal jadi ngunu ki riil pora ya,0.0,0.0,netral
producer author kkn desa tari ok next,0.25,0.25,positif
kkn desa tari takde la seram meh opinion tengok semata sbb viral n org ckp huha hebat sgt mehhhhh comes horror cant beat conjuring franchise weiiiiiiii anything james wan,0.15000000000000002,-0.2,negatif
unmagnetism kek lokasi kkn desa tari,0.0,0.0,netral
ancrit gue ga nyimpen lg foto tiket nonton kkn desa tari,0.0,0.0,netral
takut citer mistik nak tonton tu idok ler baca suka read story already desa tari hot seram bawa ajar,0.8500000000000001,0.25,positif
kkn desa tari sewu dino adaptasi thread akaun twitter simpleman simpleman aku sewu dino seram angkat kisah,0.0,0.0,netral
filem horror baharu garap md pictures terbit kkn desa tari sambut kkn buat minat letak harap sewu dino,0.0,0.0,netral
kena tengok ni studio tulis kkn desa tari,0.0,0.0,netral
geovanrv twitter gpp army masuk dunia kaya kkn desa tari,0.0,0.0,netral
thundeirbolts watchmenid yg baca isi kyk baca cerita kkn desa tari ya sebenernya ajar agama katolik god vs demons setan manifestasi dlm tubuh manusia sesuai alam si romo monggo klo baca biar lbh kenal ajar katolik https co wwp qupp j,0.0,0.0,netral
meme indonesia pln desa tari pln id https co byg sjsv https co nqsqfqbqyj,0.0,0.0,netral
kalah kkn desa tari,0.0,0.0,netral
kagebuncin kek kkn desa tari jam,0.0,0.0,netral
gewlud ya lu yg surup desa tari doang ajg,0.0,0.0,netral
sylthelords gue gk kkn desa tari ya ajg,0.0,0.0,netral
sewudino rating menit lebaran april longest kimo movie ever helm lesson learned kkn desa tari hopefully nicely paced https co kbjjqpdl x,1.0,0.6,positif
teman udah nonton film kkn desa tari mohon bantu isi kuesioner teliti ya https co e oe obo,0.0,0.0,netral
apathoni aglioelio help cinta ayat ayat cinta tenggelam van der wijck abdi setan kkn desa tari indonesian films became top box office malaysia vice versa,0.5,0.5,positif
malam layan la cerita kkn desa tari husband penah tengok lgi,0.0,0.0,netral
kkn desa tari official teaser bioskop https co gngzs cg k,0.0,0.0,netral
kkn desa tari official trailer bioskop https co hhviulsflp,0.0,0.0,netral
yg syukur ga nonton bioskop aja deh ya nih sri asih ghost hunter perempuan tahan jahannam abigail kkn desa tari,0.0,0.0,netral
kmrn sempet nonton ivana kkn desa tari perempuan gaun merah wkwk,0.0,0.0,netral
mekimasan lagu kkn desa tari,0.0,0.0,netral
ni kat filem kkn desa tari seriau fikir filem tu dasar kisah,0.0,0.0,netral
kkn desa tari tuu haha,0.3,0.2,positif
airil main yer tari canggur desa https co cqwbczugc,0.3333333333333333,0.16666666666666666,positif
moviemenfes kkn desa tari,0.0,0.0,netral
wahiwuutt irfansatria kkn desa tari cite ni,0.0,0.0,netral
goodrecom limited edition gan edisi kkn desa tari cuman dunia,0.14285714285714285,-0.07142857142857142,negatif
ni desa tari ahahahaha,0.0,0.0,netral
bcotieaja moviemenfes emang bagus ajasih ga overrated overrated tu kkn desa tari,0.0,0.0,netral
movie desa tari ni stress tengok kampung semak samun gitu,0.0,0.0,netral
mcm movie desa tari tu ka,0.0,0.0,netral
ni mcm citer kkn desa tari,0.0,0.0,netral
irfansatria datukhensem ni cerita kkn desa tari,0.0,0.0,netral
irfansatria datukhensem cerita kkn desa tari ni kopi pahit manis sbb jin yg target yg jin xtarget xleh minum kopi pahit tu,0.0,0.0,netral
irfansatria datukhensem cerita kkn desa tari tu ya,0.0,0.0,netral
ni filem kkn desa tari plot,0.0,0.0,netral
tanyakanrl klau sepupu gk bwa truck si tpi pas sepeda arah pulang abis kerja jdi tu semalem gk pulang pas cari tidur kubur pas dibangunin cerita klau semlem nginep rumah temennya btw kerja belah desa tari,0.0,0.0,netral
contoh film kkn desa tari raup juta tonton kumham kalsel lpnkarangintan kumhamkalsel faisolali lpnkarangintan lpnkarangintan wahyususetyo kanwil kemenkumham kalsel faisol ali,0.0,0.0,netral
kkn desa tari sewu dino tarik baca biar orang theatre mindnya ketimbang film,0.0,0.0,netral
ingat gabung twitter ya harijaditwittersaya karna alas pas jaman covid main medsos apa udh bosen tau thread kkn desa tari trending ig download twitter baca thread horror yg pdhl takoed,0.6666666666666666,-0.11666666666666668,negatif
skincare bagus underrated utas jisoo wild kkn desa tari bekas iphone agustus jungkookday https co msmidxytc,0.4,0.1,positif
tk il azthraal lupa desa tari mangoetzzz,0.0,0.0,netral
kkn desa tari uncut https co pwmctl e https co hm asv cye,0.8,-0.5,negatif
undipmenfess pas patung tutup kain putih rem nder asa kkn desa tari,0.0,0.0,netral
capytown fak gak takut diceritain kkn desa tari,0.0,0.0,netral
ahh shit kkn desa tari go,0.8,-0.2,negatif
dhyntaa sak multiverse ambk kkn desa tari iki,0.0,0.0,netral
kkn desa tari luwih dowo luwih medeni kisah enam mahasiswa nur widya ayu bima anton wahyu laksana kuliah kerja nyata kkn desa pencil sadar desa pilih desa,0.0,0.0,netral
somebody date morning seggs dinner seggs rough seggs soft seggs kitchen seggs shower seggs pool seggs outdoor seggs costume wearing seggs hotel seggs allday seggs make neighbors hear us seggs,0.375,0.0,netral
sumpah baca threadnya aja merinding jir tpi penasaran kek gimana adaptasi film kkn desa tari sesuai bayang pas baca threadnya,0.0,0.0,netral
ndifann iya simple man kayak kkn desa tari,0.35714285714285715,0.0,netral
yourlastya kayak kkn desa tari,0.0,0.0,netral
tanyakanrl jagain kayak nur kkn desa tari loh jaga,0.0,0.0,netral
official teaser ost kkn desa tari https co qgddupoyvs,0.0,0.0,netral
ost kkn desa tari official teaser https co lpiagf knd,0.0,0.0,netral
fwbess hmu soc hereee,0.0,0.0,netral
fwbess soc,0.0,0.0,netral
f solo yg bom masjid syaikh zayed https co ibhjonsfao,0.0,0.0,netral
ni kkn desa tari ririastria,0.0,0.0,netral
kkn desa tari parah sih guna jawanya pake jawa jawa doang tempat gak pas ngomong orang yg tua pakenya ngoko nada cele tang nada kek gin dimix ngoko kesan gak sopan,0.0,0.0,netral
jalan kkn desa tari https co obgtueckjd,0.0,0.0,netral
suholee gar log garem oren onlyvvan habisnontonfilm kkn desa tari karakter orang desa orang banyuwangi logat jawa suroboyoan campur jawa mataraman wkwk,0.0,0.0,netral
thejurgenholic lagu remix kkn desa tari gen,0.0,0.0,netral
justmeorme setia tunggu sewu dino moga patah harap kayak desa tari,0.0,0.0,netral
ipunk suka cerita kkn desa tari daerah bwi tp challenging jg kalo rumah spt https co ppmfvheb x,1.0,0.5,positif
populer sinopsis sewu dino seram kkn desa tari https co hyqogbjdt,0.0,0.0,netral
detikcom syuting desa tari,0.0,0.0,netral
ruanglucuuu kkn desa tari,0.0,0.0,netral
oalaah gin kkn desa tari,0.0,0.0,netral
narcissons preman desa tari,0.0,0.0,netral
moviemenfes nonton kkn desa tari geli cok gada proper riset gitu basa jawa aja beda kota beda,0.1,0.0,netral
akubinaan saturnalready kkn desa tari wkwkkw,0.0,0.0,netral
harga tiket bioskop kkn desa tari,0.0,0.0,netral
dapetin tiket sewu dino ga dapetin kkn desa tari,0.0,0.0,netral
jogmfs pas jaman kkn desa tari,0.0,0.0,netral
film based trailer sm film kkn desa tari kesan kalo film dasar pov org jekerda skitarnya terhdap budaya sosial jawa alias oriental jawa bahasa sebenernya kalo konvensional tutur tutur paham konteks,0.0,0.0,netral
zareihan notahappysalad moviemenfes org org mikir bahasa indonesia dimedokin bahasa jawa timur refer kkn desa tari movie,0.0,0.0,netral
alfanrahadi lewatsfilm habisnontonfilm ulang resah orang jawa asli pas nonton kkn desa tari kek,0.0,0.0,netral
lg ulang salah kkn desa tari,0.0,0.0,netral
thn mlh hrs tunggu minggu slps film lebaran utk tonton film indonesia krn bioskop bnr asai kkn desa tari doctor strange multiverse madness dgn kuntilanak jepit tgh film,0.15,-0.05,negatif
film kalah bagus kkn desa tari https co whpanm z,0.0,0.0,netral
jokiin teks kritik film kkn desa tari due minggu zonaba zonauang,0.375,-0.125,negatif
ngeri film kkn desa tari sinopsis sewu dino tayang lebaran kkndesapenari filmkkndidesapenari sinopsis sewudino https co ckvaot ny,0.0,0.0,netral
badarawuhi gak ikut kutip film kkn desa tari https co eronygrpdc,0.0,0.0,netral
rekor film kkn tembus jt tayang malam https co eronygrpdc,0.0,0.0,netral
film kkn film laris industri film ambil genre horor https co nyioqarhhl,0.0,0.0,netral
kisah kkn desa tari ambil kisah nyata mahasiswa kkn desa tonton https co nyioqarhhl,0.0,0.0,netral
watching kkn desa tari,0.0,0.0,netral
maksimal film kualitas kkn desa tari baik,0.0,0.0,netral
usul badarawuhi film kkn desa tari doyan wik wik penasran film tonton https co nyioqarhhl,0.0,0.0,netral
movie kkn desa tari full movie https co nyioqarhhl lupa like share follow,0.55,0.35,positif
moviemenfes tuju sih minder aja emang kkn desa tari tonton ngalahin dr strange indo,0.15,-0.05,negatif
swiffties heyzax tytyd nya uncut cut cut kek kkn desa tari,0.8,-0.5,negatif
diosetta jsd tarik horror misteri hidup dr kkn desa tari sewu dino,0.0,0.0,netral
h moviemenfes bau bau rame kayak kkn desa tari,0.0,0.0,netral
moviemenfes gw nonton film yg kemaren aja kkn desa tari gedeg banget dialog nya bener jelek banget udah tau jawa dalam tp bahasa daerah serba kenopo iso gedeg banget dengernya maksa banget,0.0,0.0,netral
moviemenfes jaman kkn desa tari dpt slot film mcu lupa dr strange apa cuman slot wkwkwkwkw ya ga ngaruh sih,0.15,-0.05,negatif
moviemenfes kkn desa tari ga tau coba simpleman boro boro inget bro simpleman butuh dapatin kisah nyata rem cari info cari data wawancara kesel studio film indonesia pelit riset pelit cari informasi,0.0,0.0,netral
kkn desa tari wkwk,0.0,0.0,netral
bahasa jawa kkn desa tari maksa klo emang setting nya jawa timur gpp sih pake bhs indonesia yg lebi masuk akal dr pda pake bahasa ala jakarta,0.0,0.0,netral
habisnontonfilm kemarin kkn desa tari bahasa luwes tonton netizen hak harap adaptasi,0.0,0.0,netral
beputr moviemenfes komen kkn desa tari koq lurah pake bahasa jawa ngoko yo ora sopan eh yg komen lumrah,0.0,0.0,netral
alas mergo ga ndelok versi film e kkn desa tari ndelok trailer e ae jowone mekso mending moco thread e timbang ambyar ng bioskop krungu bosone urap,1.0,-0.4,negatif
habisnontonfilm gak nonton kecewa kkn desa tari sok gaya sok drama horor gada,0.0,0.0,netral
manoj punjabi sewu dino milik potensi kkn desa tari https co apqzhtyq q,0.0,0.0,netral
kemarin rewatch kkn desa tari adek trs scene pas anton ngasih tau nur bawah dipan bima aja sesajen trs bilang tuh percaya nggak karo trs komen halah iki nek jowo te mah ngomonge wi ngandel ora wkwkwk,0.0,0.0,netral
moviemenfes gue rasain nonton kkn desa tari sebel bgt anjir nyampur bahasa,0.0,0.0,netral
habisnontonfilm yups aneh kek kkn desa tari kemaren banget dialog yg aneh bilang gimanapun tetep yg ngerasa aneh wkwk,0.0,0.0,netral
habisnontonfilm kemarin aja yg kkn desa tari bahasa jawanya ganggu maksa banget compare series teluh darah yg skrg going pakai bahasa jawa tp beneran bagus lafal native speaker castnya yg asli jawa kali,0.0,0.0,netral
manoj punjabi sewu dino potensi kkn desa tari https co yls hue u,0.0,0.0,netral
moviemenfes lupa ajar film kkn desa tari hadehh,0.0,0.0,netral
moviemenfes blm minat nonton film adaptasi tweet kaca dr kkn desa tari,0.0,0.0,netral
manoj punjabi film sewu dino seram banding kkn desa tari https co nayo jgvdk,0.0,0.0,netral
putripurwaa desa tari,0.0,0.0,netral
literallysadboi cookikawa moviemenfes simplem emg sadar kalo simplem orang marketing thread dijadiin komersil kkn desa tari script film terbit thread twitter,0.0,0.0,netral
yg industri film indo saing lho bukti lebaran kkn desa tari saing keras dr strange multiverse madness,0.15,-0.05,negatif
misteri hutan karet part https co jgweosnuk bacahorror ceritahorror horror threadhorror ceritahorrorpendaki misteri ceritamisteri setan hantu santet desapenari suaritoto pendakianhorror https co pgp wuwv,0.0,0.0,netral
lilianaaster sewu dino kisah yg kyk kkn desa tari li,0.0,0.0,netral
udah nonton kkn desa tari jumpscarenya ga guys sender suka jantung,0.0,0.0,netral
habisnontonfilm kkn desa tari emang jelek bahasa jawanya film yg ga baik salah orang jawa aja males dengernya,0.0,0.0,netral
moviemenfes kemaren gua nonton kkn desa tari kagak subtitle indonya anjir pas bahasa jawa ny muncul,0.0,0.0,netral
manoj punjabi bawa main kkn desa tari promosi kota negara https co cmpbq ako,0.3333333333333333,0.16666666666666666,positif
rill srimulat keramat doang bahasa jawanya acceptable telinga wkwkwk ga sih nonton film indo bikin gatel tu kkn desa tari maghrib eughhhh,0.0,0.0,netral
moviemenfes yap sepakat tangkep nonton trailer film genre kkn desa tari heran,0.0,0.0,netral
habisnontonfilm ngambil thread twitternya si simple man kaya kkn desa tari,0.35714285714285715,0.0,netral
moviemenfes riil kalo guna bahasa orang yg tua ga cocok bisa bilang suwun mbah orang yg tuaaa film kkn desa tari,0.0,0.0,netral
ugm fess kkn desa tari,0.0,0.0,netral
jokiin teks kritik film kkn desa tari due minggu zonaba zonauang,0.375,-0.125,negatif
ugm fess kkn desa tari,0.0,0.0,netral
ugm fess kkn desa tari,0.0,0.0,netral
worldtiputipu desa tari aj tutup mata,0.0,0.0,netral
aghniny haque main film kajiman iblis kejam tagih janji ulang sukses kkn desa tari celebritiesdotid infocelebterkini https co xqjtsfkjxe,0.3333333333333333,0.16666666666666666,positif
seram kkn desa tari sinopsis film sewu dino tayang lebaran ti https co tvyomxh,0.0,0.0,netral
film kalah bagus kkn desa tari https co whpanm z,0.0,0.0,netral
ih pgn baca threadnyaaa tuh udah baca pas cuman kek skip krn suka cerita kkn desa tari relate dg kondisi yg anak mahasiswa sooo lets go cari threat sewu dino membacanyaa,0.0,0.0,netral
kapok nonton kkn desa tari bhs jawanya ga mantep,0.0,0.0,netral
badarawuhi gak ikut kutip film kkn desa tari https co eronygrpdc,0.0,0.0,netral
capriccinos horor kayak kkn desa tari ya,0.0,0.0,netral
rey listic jaya jaya jaya yah couple kkn desa tari irl ayu bima,0.0,0.0,netral
rekor film kkn tembus jt tayang malam https co eronygrpdc,0.0,0.0,netral
film kkn desa tari bahasa jawanya maksa banget liat trailer sewu dino bahasa campur campur maksain,0.0,0.0,netral
film kkn film laris industri film ambil genre horor https co nyioqarhhl,0.0,0.0,netral
moviemenfes kkn desa tari didmn adegan si nur yg mandi trus ganggu si doi malemnya ganggu si doi,0.0,0.0,netral
kisah kkn desa tari ambil kisah nyata mahasiswa kkn desa tonton https co nyioqarhhl,0.0,0.0,netral
jokoanwar horor drpd kkn desa tari,0.0,0.0,netral
usul badarawuhi film kkn desa tari doyan wik wik,0.0,0.0,netral
mnurhanif sosmedkeras mimpiin uler gegara abis nonton film anaconda kkn desa tari,0.0,0.0,netral
movie kkn desa tari full movie https co nyioqarhhl lupa like share follow,0.55,0.35,positif
freshteaaaa prokernya ntar gak rem kek desa tari nder,0.0,0.0,netral
film indo please kalo judul jawa tema jawa yall hire aktor jawa asli kkn desa tari udah bikin trauma jgn sampe sewu dino,0.0,0.0,netral
ajar kritik film kkn desa tari,0.0,0.0,netral
kkn desa tari bener gajelas dialog maksa pol pake bahasa jawa wkwk,0.0,0.0,netral
kayane nonton bioskop kuping geli ngrungokne bahasa mbok wis mending cari per film lokal wae tilik maknyus sinau kkn desa tari lho kepriwe kiye,0.0,0.0,netral
kadyasandya asli nonton kkn desa tari kemarin protes ginian temenku,0.0,0.0,netral
kiyongbrb singkat kkn desa tari,0.0,0.0,netral
deuteronomyth kksn desa tari,0.0,0.0,netral
ketimbang kkn desa tari tarik nonton sewu dino si,0.0,0.0,netral
ulang salah yg kkn desa tari skrip dialog sis boso jowo kluthuk ndak gene gari nambahin translate g ngisore setting apik akting apik neng dialog e gawe elek boskuu,0.0,0.0,netral
moviemenfes kkn desa tari,0.0,0.0,netral
kkn desa tari sm squid game series sih tp ttp yaa gitu ga niat nonton,0.4,-0.4,negatif
kkn desa tari,0.0,0.0,netral
kkn desa tari,0.0,0.0,netral
jujur ngerasa nggak rem rem kkn desa tari sih versi film,0.0,0.0,netral
kadyasandya ga kaget krn md wkwkwk kkn desa tari bahasa gitu,0.0,0.0,netral
kadyasandya salah sijine alas bikin ndak kuat dok kkn desa tari,1.0,-0.4,negatif
ndenger bahasa jawa remix bahasa indonesia kalo kalimat oke kalo keburu males kayak orang gak riset produksi ulang kesalaham yg film kkn desa tari,0.0,0.0,netral
liat trailer sewu dino part yg gigit kek evil dead versi lokal lihat bagus kkn desa tari si,0.7,-0.6,negatif
sukakarinaaa kung fu panda desa tari,0.0,0.0,netral
inget gue farimurti ngetawain bahasa jawanya per per warga lokal kkn desa tari yg gak convincing dua jawa jadi aja cringing jawa tulen,1.0,0.5,positif
ismiismamasmuk eh cerita horror yg viral kayak kkn desa tari,0.0,0.0,netral
harga tiket bioskop kkn desa tari,0.0,0.0,netral
